id,name,playName,wikidataId,normalizedGenre,libretto,firstAuthor,title,subtitle,numOfCoAuthors,maxDegreeIds,numOfSegments,numOfActs,numOfSpeakers,numOfSpeakersMale,numOfSpeakersFemale,numOfSpeakersUnknown,numOfPersonGroups,numOfP,numOfL,wikipediaLinkCount,wordCountText,wordCountSp,wordCountStage,yearWritten,yearPremiered,yearPrinted,yearNormalized,digitalSource,originalSourcePublisher,originalSourcePubPlace,originalSourceYear,originalSourceNumberOfPages,averageDegree,density,averageClustering,size,maxDegree,numConnectedComponents,numEdges,diameter,averagePathLength
fre000833,lagrange-chancel-amasis,lagrange-chancel-amasis,,Tragedy,False,Lagrange-Chancel,Amasis,Tragédie,0,amasis|arthenice,39,5,10,6,4,0,0,0,1553,,14306,13694,23,,1701.0,1701.0,1701,"['http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/LAGRANGECHANCEL_AMASIS.xml', 'http://theatre-classique.fr/pages/documents/LAGRANGECHANCEL_AMASIS.xml']",,,,,4.2,0.46666666666666606,0.6128571428571421,10,7,1,21,3,1.622222222222222
ger######,lohenstein-epicharis,lohenstein-epicharis,,Tragedy,False,Lohenstein,Epicharis,,0,flavius_scevinus,28,5,59,41,5,13,2,0,3878,,34810,33009,425,,,1665.0,1665,http://www.textgridrep.org/textgrid:s4hw.0,,,,,14.338983050847459,0.24722384570426603,0.8138015195820011,59,36,5,423,3,1.655138339920948
ger######,lohenstein-ibrahim,lohenstein-ibrahim,,Tragedy,False,Lohenstein,Ibrahim,,0,soliman,24,5,22,9,2,11,3,157,1914,,20693,16867,237,,,1665.0,1665,http://www.textgridrep.org/textgrid:s4jp.0,,,,,4.181818181818182,0.19913419913419902,0.7888888888888881,22,10,4,46,3,1.511904761904761
span######,lope-galan-gastrucho,lope-galan-gastrucho,,,False,Lope de Vega y Carpio,El galán Castrucho,,0,several characters,3,3,17,14,3,0,1,0,3215,,17106,16505,528,1598,,,1598,,,,,,13.882352941176471,0.8676470588235291,0.9180025856496441,17,16,1,118,2,1.1323529411764701
span######,lope-perseguido,lope-perseguido,,,False,Lope de Vega y Carpio,El perseguido,,0,several characters,3,3,19,16,3,0,0,0,3861,,20573,20228,334,1590,,,1590,,,,,,12.105263157894736,0.6725146198830411,0.8813171692428651,19,18,1,115,2,1.327485380116959
span######,lope-viuda-valenciana,lope-viuda-valenciana,,Comedy,False,Lope de Vega y Carpio,La viuda valenciana,,0,several characters,3,3,15,12,3,0,0,0,3161,,16756,16341,426,1595,,,1595,,,,,,12.666666666666666,0.9047619047619041,0.932045732045732,15,14,1,95,2,1.095238095238095
span######,maldonado-costante-mujer,maldonado-costante-mujer,,Comedy,False,Maldonado,La más costante mujer,,2,several characters,3,3,8,4,4,0,0,0,2078,,11099,10884,274,,1658.0,1659.0,1658,https://dadun.unav.edu/bitstream/10171/59633/1/BIADIG61_DADUN.pdf,,,,,7.0,1.0,1.0,8,7,1,28,1,1.0
ep000150,marlowe-dr-faustus,marlowe-dr-faustus,Q50919,Tragedy,False,Marlowe,Dr. Faustus,,0,ep000150-faustus,14,0,32,21,1,10,0,292,774,0.0,12343,11937,426,1588,,,1588,https://texts.earlyprint.org/works/A07009.xml,,,,,8.3125,0.268145161290322,0.876771978021978,32,27,1,133,3,1.790322580645161
span######,matos-hidalgo-mancha,matos-hidalgo-mancha,,Comedy,False,Matos Fragoso,El hidalgo de la Mancha,,2,several characters,3,3,27,19,6,1,1,0,3328,,16969,16150,973,,1673.0,,1673,https://dadun.unav.edu/bitstream/10171/59633/1/BIADIG61_DADUN.pdf,,,,,19.48148148148148,0.7492877492877491,0.892741488530962,27,26,1,263,2,1.2507122507122501
fre######,matthieu-aman,matthieu-aman,,,False,Mathieu,Aman,,0,choeur,15,5,8,5,2,1,2,0,3695,,28727,27471,1221,1588,,1589.0,1589,https://books.google.de/books?id=H2JjAAAAcAAJ,,,,,4.0,0.5714285714285711,0.778571428571428,8,7,1,16,2,1.428571428571428
ita######,memmolo-susanna,memmolo-susanna,,Tragedy,False,Memmolo,La Susanna,,0,coro,19,5,13,9,2,2,1,0,2783,,18689,17965,49,,,1632.0,1632,https://books.google.it/books?id=ec0PXJ6KRmkC,,,,,4.0,0.33333333333333304,0.624908424908424,13,8,1,26,4,2.012820512820512
ger######,mitternacht-unglueckselige-soldat,mitternacht-unglueckselige-soldat,,Tragedy,False,Mitternacht,Der unglückselige Soldat,,0,ariophilus,32,5,59,48,4,7,0,255,179,,26529,22617,761,,1662.0,1662.0,1662,http://www.textgridrep.org/textgrid:sf41.0,,,,,6.508474576271187,0.112215078901227,0.797725139472893,59,24,3,192,5,2.6616541353383463
fre001024,moliere-sganarelle,moliere-sganarelle,Q3481105,Comedy,False,Molière,Sganarelle ou Le Cocu Imaginaire,Comédie,0,lelie|sganarelle,24,1,9,6,3,0,0,0,714,0.0,13090,7614,4617,,1660.0,1660.0,1660,"['http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/MOLIERE_SGANARELLE.xml', 'http://theatre-classique.fr/pages/documents/MOLIERE_SGANARELLE.xml']",,,,,4.0,0.5,0.6206349206349201,9,7,1,18,3,1.527777777777777
fre001045,montchretien-carthaginoise,montchretien-carthaginoise,,Tragedy,False,Montchrestien,La Carthaginoise,Ou la Liberté,0,choeur|massinisse,6,5,10,5,4,1,1,0,1827,,17111,16755,0,,,1601.0,1601,"['http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/MONTCHRETIEN_CARTHAGINOISE.xml', 'http://theatre-classique.fr/pages/documents/MONTCHRETIEN_CARTHAGINOISE.xml']",,,,,4.2,0.46666666666666606,0.738095238095238,10,7,2,21,2,1.416666666666666
span######,montenegro-toma-buda,montenegro-toma-buda,,,False,de Montenegro y Neira,La toma de Buda,,0,unión|fe,15,1,38,15,1,22,6,2,2620,,13298,12504,873,,,1687.0,1687,https://dadun.unav.edu/bitstream/10171/43471/1/BIADIG37.pdf,,,,,11.736842105263158,0.31721194879089604,0.8123839979204981,38,22,1,223,4,1.9943100995732572
span######,monteser-caballero-olmedo,monteser-caballero-olmedo,,Tragedy,False,Monteser,El caballero de Olmedo,,0,several characters,3,3,11,7,2,2,1,0,2031,,11219,10914,281,1621,,,1621,,,,,,10.0,1.0,1.0,11,10,1,55,1,1.0
span######,moreto-desden-con-desden,moreto-desden-con-desden,,Comedy,False,Moreto y Cavana,El desdén con el desdén,,0,several characters,3,3,11,6,5,0,2,0,3135,,16266,15900,430,1654,,,1654,,,,,,9.636363636363637,0.9636363636363631,0.967676767676767,11,10,1,53,2,1.036363636363636
span######,moreto-lindo-don-diego,moreto-lindo-don-diego,,Comedy,False,Moreto y Cavana,El lindo don Diego,,0,several characters,5,1,8,7,4,0,0,0,1087,,6300,6197,223,1662,,,1662,,,,,,7.0,1.0,1.0,8,7,1,28,1,1.0
ep000643,motteux-beauty-in-distress,motteux-beauty-in-distress,Q104858515,,False,Motteux,Beauty in Distress,,0,several characters,5,5,22,15,6,1,3,0,2286,0.0,34013,20676,1384,,,1698.0,1698,https://texts.earlyprint.org/works/A51496.xml,,,,,16.105263157894736,0.894736842105263,0.933952528379773,19,18,1,153,2,1.105263157894737
ger######,murer-absolom,murer-absolom,,,False,Murer,Absolom,,0,absolom,21,5,83,72,7,4,2,1,2578,,19217,17918,1438,,1565.0,1565.0,1565,http://www.textgridrep.org/textgrid:sssj.0,,,,,15.686746987951807,0.19130179253599702,0.852345809736463,83,62,1,651,3,1.9770790478989122
ger######,murer-esther,murer-esther,,,False,Murer,Hester,,0,bigthan|haman|asverus,7,6,24,21,3,0,0,4,1247,,9295,8436,1200,,1567.0,1567.0,1567,"['https://books.google.de/books?id=jOpoAAAAcAAJ', 'https://doi.org/10.1515/9783111323718']",,,,,14.416666666666666,0.626811594202898,0.8420249369939771,24,22,1,173,3,1.405797101449275
ep000215,nabbes-the-unfortunate-mother,nabbes-the-unfortunate-mother,Q20745553,Tragedy,False,Nabbes,The Unfortunate Mother,,0,several characters,5,5,14,10,3,1,0,0,2073,0.0,15033,14129,277,1639,,,1639,https://texts.earlyprint.org/works/A07979.xml,,,,,12.714285714285714,0.9780219780219781,0.979853479853479,14,13,1,89,2,1.021978021978022
ita######,nolfi-romilda,nolfi-romilda,,Tragedy,False,Nolfi,Romilda,,0,laufredo,29,5,15,12,2,1,2,0,2276,,15799,15586,77,,,1643.0,1643,https://books.google.de/books?id=0k0WFpjlohcC,,,,,5.333333333333333,0.38095238095238004,0.655911495911496,15,11,2,40,3,1.6703296703296702
ep000219,norton-sackville-gorboduc,norton-sackville-gorboduc,Q1038249,Tragedy,False,Norton,Gorboduc,,1,ep000219-eubulus,9,5,18,16,2,0,1,0,1780,0.0,15802,14366,39,1562,,,1562,https://texts.earlyprint.org/works/A08360.xml,,,,,5.555555555555555,0.32679738562091504,0.7781866281866281,18,12,2,50,3,1.536082474226804
ger######,opitz-judith,opitz-judith,,,False,Opitz,Judith,,0,judith,15,3,21,17,2,2,5,0,621,,5262,3938,9,,,1635.0,1635,http://www.textgridrep.org/textgrid:svt2.0,,,,,4.476190476190476,0.22380952380952301,0.694781673353101,21,13,1,47,4,2.18095238095238
ita######,oransi-rosina,oransi-rosina,,Comedy,False,Oransi,Rosina,,0,pulcinella,40,3,13,11,2,0,0,734,0,,24975,24738,131,,,1652.0,1652,https://books.google.de/books?id=v8UARhd1wOwC,,,,,7.846153846153846,0.6538461538461531,0.944599844599844,13,12,1,51,2,1.346153846153846
ep000227,peele-the-love-of-david-and-fair-bathsheba,peele-the-love-of-david-and-fair-bathsheba,,Tragedy,False,Peele,The Love of David and Fair Bathsheba,,0,ep000227-cusay,18,0,30,25,5,0,0,0,1896,,15738,15135,523,1590,,,1590,https://texts.earlyprint.org/works/A09228.xml,,,,,9.533333333333333,0.328735632183908,0.8117217188269821,30,26,1,143,3,1.696551724137931
ep000674,pix-ibrahim-the-thirteenth-emperor-of-the-turks,pix-ibrahim-the-thirteenth-emperor-of-the-turks,Q65054481,,False,Pix,"Ibrahim, the Thirteenth Emperor of the Turks",,0,ep000674-sheker-para|ep000674-achmet|ep000674-mustapha,6,5,15,11,4,0,1,0,1720,0.0,13804,12475,462,,,1696.0,1696,https://texts.earlyprint.org/works/A54958.xml,,,,,10.8,0.771428571428571,0.888495948495948,15,14,1,81,2,1.228571428571428
ep000679,porter-the-carnival,porter-the-carnival,Q25204117,,False,Porter,The Carnival,,0,several characters,7,5,22,17,5,0,1,357,1822,0.0,17371,16291,800,,,1664.0,1664,https://texts.earlyprint.org/works/A55490.xml,,,,,17.545454545454547,0.8354978354978351,0.9096015439668691,22,21,1,193,2,1.164502164502164
fre001200,racine-thebaide-64,racine-thebaide-64,Q3213141,Tragedy,False,Racine,La Thébaïde,Ou les Frères Ennemis,0,jocaste,25,5,9,6,3,0,0,0,1693,0.0,15842,15289,24,,1664.0,1664.0,1664,"['http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/RACINE_THEBAIDE64.xml', 'http://theatre-classique.fr/pages/documents/RACINE_THEBAIDE64.xml']",,,,,5.555555555555555,0.6944444444444441,0.844179894179894,9,8,1,25,2,1.305555555555555
ep000698,ravenscroft-dame-dobson,ravenscroft-dame-dobson,,,False,Ravenscroft,"Dame Dobson, or The Cunning Woman",,0,ep000698-dame-dobson|ep000698-beatrice|ep000698-hartwell,29,5,19,7,12,0,0,1446,2,,35582,34162,1055,,,1684.0,1684,https://texts.earlyprint.org/works/A58111.xml,,,,,14.210526315789474,0.7894736842105261,0.9355779153766761,19,18,1,135,2,1.210526315789473
fre001220,regnard-serenade,regnard-serenade,,Comedy,False,Regnard,"La Sérénade, Comédie",,0,scapin|monsieur-grifon,27,1,11,6,3,2,1,387,17,,8141,7923,103,,1694.0,1694.0,1694,"['http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/REGNARD_SERENADE.xml', 'http://theatre-classique.fr/pages/documents/REGNARD_SERENADE.xml']",,,,,5.454545454545454,0.5454545454545451,0.874747474747474,11,10,1,30,2,1.4545454545454541
ger000600,reuter-der-ehrlichen-frau-schlampampe-krankheit-und-tod,reuter-der-ehrlichen-frau-schlampampe-krankheit-und-tod,Q116058683,Comedy,False,Reuter,La Maladie & la mort de l'honnéte Femme. Das ist: Der ehrlichen Frau Schlampampe Krankheit und Tod,in einem Lust- und Trauerspiele vorgestellet und aus dem Französischen in das Teutsche übergesetzt von Schelmuffsky Reise-Gefährten,0,camille,38,3,16,11,5,0,0,718,4,0.0,14600,14224,543,,,1696.0,1696,http://www.textgridrep.org/textgrid:t9qb.0,Volksverlag,Weimar,1962.0,60.0,9.25,0.616666666666666,0.8977564102564101,16,15,1,74,2,1.383333333333333
ita######,riccoboni-tito-manlio,riccoboni-tito-manlio,,Tragedy,False,Riccoboni,Tito Manlio,,0,servilia|decio,45,3,10,7,2,1,1,508,0,,16492,16212,140,,,1707.0,1707,https://www.archive.org/details/bub_gb_eIYzm0s7shwC,,,,,5.0,0.555555555555555,0.684285714285714,10,8,1,25,3,1.511111111111111
ger######,rinckart-eislebische-ritter,rinckart-eislebische-ritter,,,False,Rinckart,Der eislebische christliche Ritter,,0,martin,39,5,27,25,2,0,4,1,2457,,19350,16246,2996,1613,,,1613,https://books.google.de/books?id=bYYbAAAAYAAJ,,,,,8.74074074074074,0.336182336182336,0.735788462955271,27,24,1,118,3,1.683760683760683
ger######,rist-irenaromachia,rist-irenaromachia,,Tragicomedy,False,Rist,Irenaromachia,,0,several characters,3,3,15,11,4,0,0,158,179,,11412,9458,385,,,1630.0,1630,http://www.textgridrep.org/textgrid:tftj.0,,,,,6.8,0.48571428571428504,1.0,15,8,2,51,1,1.0
ger######,rist-perseus,rist-perseus,,Tragedy,False,Rist,Perseus,,0,hans|didas,24,3,16,14,2,0,0,403,99,,38263,35576,2478,,1634.0,1634.0,1634,http://www.textgridrep.org/textgrid:tg23.0,,,,,9.125,0.6083333333333331,0.826431207681207,16,14,1,73,3,1.4
span######,rojas-entre-bobos,rojas-entre-bobos,,Comedy,False,Rojas Zorrilla,Entre bobos anda el juego,,0,several characters,3,3,16,12,4,0,1,4,3192,,16348,15897,544,1638,,,1638,,,,,,14.125,0.9416666666666661,0.9666666666666661,16,15,1,113,2,1.058333333333333
span######,rojas-lo-que-son-mujeres,rojas-lo-que-son-mujeres,,Comedy,False,Rojas Zorrilla,Lo que son mujeres,,0,several characters,3,3,12,7,5,0,1,0,3358,,16068,15876,195,1644,,,1644,,,,,,11.0,1.0,1.0,12,11,1,66,1,1.0
ger######,rollenhagen-reichen-mann,rollenhagen-reichen-mann,,,False,Rollenhagen,Vom reichen Mann und armen Lazaro,,0,porphyrius,51,5,61,54,7,0,2,0,3606,,26068,23389,635,,1590.0,1590.0,1590,http://www.textgridrep.org/textgrid:tg9f.0,,,,,9.60655737704918,0.16010928961748602,0.796232045543604,61,38,1,293,4,2.246448087431694
span######,romero-aunca-razones-bastan,romero-aunca-razones-bastan,,,False,Romero,"Aunque las razones basten, nunca la Justicia sobra",,0,several characters,3,3,24,4,3,17,1,0,2418,,12536,11906,689,,,1701.0,1701,https://books.google.de/books?id=oLZXAAAAcAAJ,,,,,18.833333333333332,0.818840579710144,0.913511160421915,24,23,1,226,2,1.181159420289855
ep000854,rowe-the-fair-penitent,rowe-the-fair-penitent,,,False,Rowe,"The fair penitent. A tragedy. Written by N. Rowe, Esq;",,0,several characters,6,5,10,7,3,0,0,4,1925,,18481,16578,484,,,1714.0,1714,https://texts.earlyprint.org/works/C14220.xml,,,,,8.0,0.8888888888888881,0.918650793650793,10,9,1,40,2,1.111111111111111
fre001469,saint-glas-bouts-rimes,saint-glas-bouts-rimes,,Comedy,False,Saint-Glas,Les Bouts Rimés,Comédie,0,du-rimet,17,1,14,11,2,1,0,301,50,,8865,8197,179,,,1682.0,1682,"['http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/SAINT-GLAS_BOUTSRIMES.xml', 'http://theatre-classique.fr/pages/documents/SAINT-GLAS_BOUTSRIMES.xml']",,,,,4.142857142857143,0.31868131868131805,0.8492063492063491,14,9,2,29,2,1.5
ita######,salviati-granchio,salviati-granchio,,Comedy,False,Salviati,Il granchio,,0,granchio|vanni,29,5,9,8,1,0,0,926,0,,26016,24755,361,,1566.0,,1566,https://archive.org/details/bub_gb_x3zrvqkCWvEC/,,,,,4.0,0.5,0.562962962962962,9,6,1,18,3,1.555555555555555
ita000128,scala-il-finto-marito,scala-il-finto-marito,Q83965808,Comedy,False,Scala,Il finto marito,,0,several characters,42,5,12,9,3,0,0,1420,4,0.0,41214,40588,193,,,1618.0,1618,http://www.bibliotecaitaliana.it/testo/bibit001491,UTET,Torino,1982.0,,9.0,1.0,1.0,10,9,1,45,1,1.0
ger######,schlue-isaac,schlue-isaac,,,False,Schlue,Isaac,,0,abraham,9,8,25,18,3,4,1,0,1577,,13846,11042,2271,,,1606.0,1606,https://books.google.de/books?id=ov4hjSIAi0EC,,,,,8.24,0.34333333333333305,0.8252927072927071,25,15,1,103,4,2.106666666666666
ger######,schoch-comoedia-studenten,schoch-comoedia-studenten,,Comedy,False,Schoch,Comoedia vom Studenten-Leben,,0,pickelhering,43,6,44,37,6,0,4,666,0,,33120,28460,4319,,,1657.0,1657,https://www.deutschestextarchiv.de/schoch_comoedia_1658,,,,,5.363636363636363,0.12473572938689201,0.762715110559938,44,29,5,118,3,1.903682719546742
ep000731,shadwell-the-libertine,shadwell-the-libertine,Q28457734,,False,Shadwell,The Libertine,,0,several characters,11,5,53,22,22,10,11,1206,455,0.0,28763,25521,1014,,,1676.0,1676,https://texts.earlyprint.org/works/A59432.xml,,,,,25.20754716981132,0.484760522496371,0.8938755153470811,53,52,1,668,2,1.515239477503628
ep000751,shirley-the-court-secret,shirley-the-court-secret,Q16828249,Tragicomedy,False,Shirley,The Court Secret,,0,several characters,5,5,18,14,4,0,0,1,2607,0.0,20110,19231,399,1642,,,1642,https://texts.earlyprint.org/works/A59992_06.xml,,,,,15.11111111111111,0.8888888888888881,0.923824786324786,18,17,1,136,2,1.111111111111111
ep000268,shirley-the-example,shirley-the-example,Q7732739,Comedy,False,Shirley,The Example,,0,several characters,6,5,20,13,5,1,1,14,2436,0.0,19600,18811,415,1634,,,1634,https://texts.earlyprint.org/works/A12136.xml,,,,,16.6,0.8736842105263151,0.925920684063099,20,19,1,166,2,1.126315789473684
ep000262,shirley-the-martyred-soldier,shirley-the-martyred-soldier,,Tragedy,False,Shirley,The Martyred Soldier,,0,several characters,5,5,28,24,2,3,3,361,1753,,18578,17265,415,1618,,,1618,https://texts.earlyprint.org/works/A12127.xml,,,,,18.714285714285715,0.693121693121693,0.873160099214173,28,27,1,262,2,1.306878306878307
ger######,stranitzky-tuerckisch-bestraffter-hochmuth,stranitzky-tuerckisch-bestraffter-hochmuth,,,False,Stranitzky,Türckisch-bestraffter Hochmuth,,0,stahrenberg|hanswurst,33,3,26,21,4,1,1,328,200,,19125,17945,1972,,1685.0,1993.0,1685,http://www.textgridrep.org/textgrid:w3xk.0,,,,,7.692307692307692,0.30769230769230704,0.7648780706473011,26,16,1,100,4,1.972307692307692
fre001375,subligny-folle-querelle,subligny-folle-querelle,,Comedy,False,Subligny,La Folle Querelle ou La Critique d'Andromaque,Comédie Représentée par la Troupe du Roi.,0,eraste|alcipe|la-vicomtesse,32,2,9,5,4,0,0,606,49,,17323,13825,121,,1668.0,1668.0,1668,"['http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/SUBLIGNY_FOLLEQUERELLE.xml', 'http://theatre-classique.fr/pages/documents/SUBLIGNY_FOLLEQUERELLE.xml']",,,,,5.333333333333333,0.6666666666666661,0.7248677248677241,9,7,1,24,3,1.3611111111111112
cal000053,suenos-hay-que-verdad-son,suenos-hay-que-verdad-son,Q69031569,,False,Calderón,Sueños hay que verdad son,Auto sacramental alegórico intitulado,0,several characters,6,1,27,22,5,0,0,0,2290,0.0,11591,11122,570,1670,,1717.0,1670,http://www.cervantesvirtual.com/obra-visor/suenos-hay-que-verdad-son--0/html/,,,,,23.037037037037038,0.886039886039886,0.977207977207977,27,26,1,311,2,1.113960113960113
fre######,taille-corrivaus,taille-corrivaus,,Comedy,False,La Taille,Les Corrivaus,,0,benard,25,5,15,11,4,0,0,445,0,,14628,13068,105,1562,,1573.0,1562,https://archive.org/details/uvresdejeandela02ariogoog,,,,,5.866666666666666,0.41904761904761906,0.5697354497354491,15,9,1,44,3,1.685714285714285
ita000133,tasso-aminta,tasso-aminta,Q471831,,False,Tasso,Aminta,,0,coro,11,5,10,6,3,1,1,0,2091,0.0,14066,13965,30,,1573.0,1580.0,1573,http://www.bibliotecaitaliana.it/testo/bibit000763,L. S. Olschki,Firenze,1999.0,,3.0,0.33333333333333304,0.574761904761904,10,7,3,15,2,1.464285714285714
ita000135,tasso-intrichi-d-amore,tasso-intrichi-d-amore,Q84178663,Comedy,False,Tasso,Intrichi d'Amore,,0,several characters,63,5,15,9,6,0,0,1861,0,0.0,49229,48964,15,,1598.0,1603.0,1598,http://www.bibliotecaitaliana.it/testo/bibit001343,Lexis Progetti Editoriali,Roma,1997.0,,12.0,0.8571428571428571,0.892713212713212,15,14,1,90,2,1.142857142857142
ita######,testi-isola-alcina,testi-isola-alcina,,Tragedy,False,Testi,L'isola di Alcina,,0,ruggiero,18,5,15,9,6,0,3,0,1262,,7555,7431,52,,,1648.0,1648,https://books.google.de/books?id=4JhMp0A3_GUC,,,,,4.0,0.28571428571428503,0.783578643578643,15,11,2,30,3,1.802197802197802
ep000767,tomkis-lingua,tomkis-lingua,,Comedy,False,Tomkis,"Lingua, or The Combat of the Tongue and the Five Senses for Superiority",,0,ep000767-phantastes,51,5,21,1,0,20,0,801,1158,,29578,27120,1645,1657,,,1657,https://texts.earlyprint.org/works/A62894.xml,,,,,12.476190476190476,0.623809523809523,0.847865551569664,21,19,1,131,3,1.380952380952381
ita000137,torelli-la-merope,torelli-la-merope,Q84176607,Tragedy,False,Torelli,La Merope,,0,several characters,8,1,8,5,3,0,1,0,2699,0.0,19171,18597,10,,,1589.0,1589,http://www.bibliotecaitaliana.it/testo/bibit000311,Bulzoni,Ravenna,1999.0,,6.5,0.928571428571428,0.94047619047619,8,7,1,26,2,1.071428571428571
ita######,tortoletti-gionata,tortoletti-gionata,,Tragedy,False,Tortoletti,Gionata,,0,gionata,16,6,15,12,1,2,5,0,2524,,17067,16953,40,,,1624.0,1624,https://books.google.de/books?id=RwxSL1eigKcC,,,,,5.066666666666666,0.361904761904761,0.677147667147667,15,11,2,38,3,1.648351648351648
fre001386,tristan-parasite,tristan-parasite,,Comedy,False,Tristan l'Hermite,Le Parasite,Comédie,0,lisandre|fripesauces,31,5,10,5,5,0,0,0,1949,,18656,16874,23,,1654.0,1654.0,1654,"['http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/TRISTAN_PARASITE.xml', 'http://theatre-classique.fr/pages/documents/TRISTAN_PARASITE.xml']",,,,,7.0,0.777777777777777,0.9123015873015871,10,9,1,35,2,1.222222222222222
fre001387,turnebe-contents,turnebe-contents,,Comedy,False,Turnèbe,Les Contents,Comédie Nouvelle en Prose Française,0,basile,35,1,16,11,5,0,1,777,0,,31423,29883,0,,,1584.0,1584,"['http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/TURNEBE_CONTENTS.xml', 'http://theatre-classique.fr/pages/documents/TURNEBE_CONTENTS.xml']",,,,,6.875,0.45833333333333304,0.6109494671994671,16,13,1,55,3,1.566666666666666
fre001388,urfe-sylvanire,urfe-sylvanire,Q3213001,,False,d'Urfé,Sylvanire,Ou la Morte Vive,0,fossinde|choeur,51,5,14,8,5,1,1,0,9537,0.0,50687,50352,5,,1617.0,1627.0,1617,"['http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/URFE_SYLVANIRE.xml', 'http://theatre-classique.fr/pages/documents/URFE_SYLVANIRE.xml']",,,,,7.2857142857142865,0.56043956043956,0.819985569985569,14,11,2,51,2,1.346153846153846
span######,vega-duquesa-de-rosa,vega-duquesa-de-rosa,,Comedy,False,Vega,La duquesa de Rosa,,0,duquesa,10,1,26,20,1,5,2,558,50,,9107,8551,411,,1566.0,,1566,"https://archive.org/details/TresComediasDeAlonsoDeLaVegaPelay""",,,,,7.769230769230769,0.31076923076923,0.8883548995761271,26,23,1,101,3,1.713846153846153
span######,vega-seraphina,vega-seraphina,,Tragedy,False,Vega,Seraphina,,0,talancon,8,1,14,10,3,1,2,486,26,,8341,7901,148,,1566.0,,1566,"https://archive.org/details/TresComediasDeAlonsoDeLaVegaPelay""",,,,,6.714285714285714,0.5164835164835161,0.8247010925582351,14,12,1,47,2,1.4835164835164831
span######,velez-serrana-vera,velez-serrana-vera,,Tragedy,False,Vélez de Guevara,La serrana de la Vera,,0,several characters,3,3,39,30,5,4,4,0,3576,,18926,17702,1224,1613,,,1613,,,,,,28.871794871794872,0.7597840755735491,0.922724971281847,39,38,1,563,2,1.2402159244264501
fre001399,viau-pasiphae,viau-pasiphae,,Tragedy,False,Viau,La Tragédie de Pasiphaé,Qui est nouvelle et n'a jamais été représentée.,0,thesee,5,5,22,15,6,1,3,0,1476,,13505,12924,0,,,1627.0,1627,"['http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/VIAU_PASIPHAE.xml', 'http://theatre-classique.fr/pages/documents/VIAU_PASIPHAE.xml']",,,,,7.181818181818182,0.341991341991342,0.886297051136623,22,17,1,79,3,1.779220779220779
fre001400,viau-pyrame,viau-pyrame,,Tragedy,False,Viau,Pyrame et Thisbé,Tragédie,0,pyrame|syllar,12,5,12,8,4,0,0,0,1261,,12285,12188,0,,1617.0,1623.0,1617,"['http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/VIAU_PYRAME.xml', 'http://theatre-classique.fr/pages/documents/VIAU_PYRAME.xml']",,,,,1.833333333333333,0.16666666666666602,0.291666666666666,12,4,3,11,4,2.0
fre######,virey-machabee,virey-machabee,,Tragedy,False,Virey,La Machabee,"tragedie, du martyre des sept freres, et de Solomone leur mere",0,several characters,1,1,18,16,2,0,0,0,1438,,12545,12316,210,,,1596.0,1596,https://books.google.de/books?id=lcirVO7qLEQC,,,,,17.0,1.0,1.0,18,17,1,153,1,1.0
span######,virues-la-gran-semiramis,virues-la-gran-semiramis,,Tragedy,False,Cristóbal,La gran Semíramis,,0,semiramis|celabo|pueblo,3,3,15,13,1,1,1,0,2341,,15125,14596,462,1579,,,1579,https://emothe.uv.es/biblioteca/textosXML/EMOTHE0559_LaGranSemiramis.xml,,,,,10.533333333333333,0.752380952380952,0.893854293854293,15,14,1,79,2,1.247619047619047
ger######,weise-baeurischer-machiavellus,weise-baeurischer-machiavellus,,Comedy,False,Weise,Bäurischer Machiavellus,,0,scibilis|purusputus,34,6,48,42,6,0,0,523,631,,26996,26199,833,,1679.0,1681.0,1679,http://www.textgridrep.org/textgrid:x438.0,,,,,14.75,0.31382978723404203,0.8863744862297831,48,23,2,354,3,1.4565217391304341
ger000594,weise-masaniello,weise-masaniello,Q115044856,Tragedy,False,Weise,Masaniello,Trauerspiel,0,allegro,99,5,75,63,11,1,4,1647,68,0.0,40160,38084,1903,,1682.0,1683.0,1682,http://www.textgridrep.org/textgrid:x4c3.0,Reclam,Stuttgart,1972.0,,12.826666666666666,0.173333333333333,0.713138768728755,75,52,4,481,3,1.9338022341745962
ger######,weise-ungleich-liebesalliance,weise-ungleich-liebesalliance,,Comedy,False,Weise,Ungleich und gleich gepaarte Liebes-Alliance,,0,geta|sylvester|richard,90,5,51,38,13,0,0,1723,36,,47637,46801,968,,,1708.0,1708,https://books.google.de/books?id=xSJLAAAAcAAJ,,,,,14.117647058823529,0.28235294117647003,0.7074995742291631,51,26,1,360,4,2.069019607843137
